Day fraction since midnight on 	pH probe (pH)
0.647103513	7.089160919
0.647115104	7.088627815
0.647126671	7.089341164
0.647138238	7.089280605
0.647149805	7.089689255
0.647161395	7.088674545
0.647172962	7.089104176
0.647184529	7.08868885
0.647196108	7.088819504
0.647207675	7.089441776
0.647219265	7.088775635
0.647230832	7.089424133
0.647242399	7.089467526
0.64725399	7.089287281
0.647265557	7.090005398
0.647277124	7.088972092
0.647288702	7.08942318
0.647300293	7.089438438
0.64731186	7.089804173
0.647323427	7.089385033
0.647334994	7.088839531
0.647346584	7.089478016
0.647358151	7.089370251
0.647369718	7.089661121
0.647381297	7.089408398
0.647392864	7.088864327
0.647404454	7.089567661
0.647416021	7.089646339
0.647427588	7.089520931
0.647439179	7.089334011
0.647450769	7.088914871
0.647462313	7.089459896
0.647473914	7.089738846
0.647485458	7.090112686
0.647497049	7.090037346
0.647508639	7.089355469
0.647520183	7.089542389
0.647531773	7.089767933
0.64754334	7.0897398
0.647554907	7.088919163
0.647566486	7.089074135
0.647578053	7.089582443
0.647589643	7.089696407
0.64760121	7.089560986
0.647612777	7.088968754
0.647624368	7.089341641
0.647635935	7.088792801
0.647647502	7.088953018
0.647659092	7.089334011
0.647670659	7.088946819
0.647682226	7.089076042
0.647693816	7.089589119
0.647705372	7.089692593
0.647716962	7.089107037
0.647728529	7.089151382
0.647740096	7.089427948
0.647751686	7.089592457
0.647763253	7.090134144
0.647774821	7.088551521
0.647786411	7.089165688
0.647797978	7.089337349
0.647809545	7.089567661
0.647821112	7.08983326
0.647832702	7.08919096
0.647844281	7.089321613
0.647855848	7.089302063
0.647867415	7.089263916
0.647878994	7.089224339
0.647890561	7.088700295
0.647902139	7.08920002
0.647913706	7.089255333
0.647925297	7.089883328
0.647936864	7.089911461
0.647948327	7.089601994
0.647960009	7.089180946
0.647971577	7.089539528
0.647983155	7.089595795
0.647994745	7.089082718
0.648006312	7.089121342
0.64801788	7.08921957
0.648029458	7.089147091
0.648041025	7.08972168
0.648052604	7.088536263
0.648064183	7.088486195
0.64807575	7.088576794
0.64808734	7.088856697
0.648098907	7.089582443
0.648110474	7.088709354
0.648122064	7.089291573
0.648133631	7.089437962
0.648145198	7.089514256
0.648156765	7.089556694
0.648168344	7.088913441
0.648179934	7.089425087
0.64819149	7.089624882
0.64820308	7.089764595
0.648214636	7.089017391
0.648226226	7.089134216
0.648237804	7.089400291
0.648249372	7.089434624
0.648260939	7.089765072
0.648272529	7.088942528
