Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()						Time	Cum Time	Inlet	Outlet
0.617827038	10.20242023	10.20242023	116407.0938	4.360000134	4.657000065	0.500526316	0.805894737						53380.25611	720.0277142	4.657000065	4.360000134
0.617884973	10.2025919	10.2025919	116408.6953	4.029999733	4.611999989	0.500526316	0.805894737						53385.26163	725.0332378	4.611999989	4.029999733
0.617942759	10.20271301	10.20271301	116410.5391	3.910000086	4.592999935	0.500526316	0.805894737						53390.25435	730.0259568	4.592999935	3.910000086
0.61800069	10.20263195	10.20263195	116407.9063	3.639999867	4.570000172	0.500526316	0.805894737						53395.25965	735.0312557	4.570000172	3.639999867
0.6180586	10.20250797	10.20250797	116410.3672	3.410000086	4.555999756	0.500526316	0.805894737						53400.26302	740.0346278	4.555999756	3.410000086
0.618116445	10.20258904	10.20258904	116424.8281	3.480000019	4.555999756	0.500526316	0.805894737						53405.26084	745.0324445	4.555999756	3.480000019
0.618174322	10.20261192	10.20261192	116422.4531	3.880000114	4.56099987	0.500526316	0.805894737						53410.2614	750.0330086	4.56099987	3.880000114
0.61823212	10.20249176	10.20249176	116435.4609	3.869999886	4.585000038	0.500526316	0.805894737						53415.25514	755.0267472	4.585000038	3.869999886
0.618289986	10.20250034	10.20250034	116457.1484	3.670000076	4.578999996	0.500526316	0.805894737						53420.25482	760.0264214	4.578999996	3.670000076
0.618347915	10.20256138	10.20256138	116430.8047	3.759999991	4.559999943	0.500526316	0.805894737						53425.25986	765.0314698	4.559999943	3.759999991
0.618405789	10.20267963	10.20267963	116455.0469	3.670000076	4.568999767	0.500526316	0.805894737						53430.2602	770.0318093	4.568999767	3.670000076
0.618463698	10.20258522	10.20258522	116444.9844	3.849999905	4.568999767	0.500526316	0.805894737						53435.26349	775.035095	4.568999767	3.849999905
0.618521519	10.20251656	10.20251656	116428.4375	3.639999867	4.612999916	0.500526316	0.805894737						53440.25927	780.0308726	4.612999916	3.639999867
0.618579392	10.20254803	10.20254803	116442.125	4	4.613999844	0.500526316	0.805894737						53445.25943	785.0310394	4.613999844	4
0.618637258	10.20249367	10.20249367	116452.4063	4.190000057	4.586999893	0.500526316	0.805894737						53450.25906	790.0306618	4.586999893	4.190000057
0.618695123	10.20252323	10.20252323	116463.2109	4.010000229	4.580999851	0.500526316	0.805894737						53455.25858	795.0301891	4.580999851	4.010000229
0.618753002	10.20248318	10.20248318	116453.0703	3.880000114	4.578000069	0.500526316	0.805894737						53460.25936	800.0309693	4.578000069	3.880000114
0.618810904	10.20249367	10.20249367	116461.0859	3.809999943	4.571000099	0.500526316	0.805894737						53465.26213	805.0337366	4.571000099	3.809999943
0.61886877	10.20268345	10.20268345	116475.6484	3.720000029	4.576000214	0.500526316	0.805894737						53470.26175	810.033359	4.576000214	3.720000029
0.618926634	10.2025671	10.2025671	116460.5547	3.589999914	4.566999912	0.500526316	0.805894737						53475.26118	815.0327827	4.566999912	3.589999914
0.61898451	10.20251179	10.20251179	116467.6797	3.759999991	4.552000046	0.500526316	0.805894737						53480.26166	820.0332605	4.552000046	3.759999991
0.619042394	10.20240211	10.20240211	116470.5938	3.900000095	4.584000111	0.500526316	0.805894737						53485.26282	825.0344294	4.584000111	3.900000095
0.619100206	10.20263195	10.20263195	116478.2656	3.839999914	4.584000111	0.500526316	0.805894737						53490.25779	830.0293949	4.584000111	3.839999914
0.619158136	10.20259476	10.20259476	116477.5625	3.859999895	4.595999718	0.500526316	0.805894737						53495.26293	835.0345382	4.595999718	3.859999895
0.619215963	10.20256901	10.20256901	116482.1016	4.070000172	4.584000111	0.500526316	0.805894737						53500.25917	840.0307738	4.584000111	4.070000172
0.619273824	10.20258999	10.20258999	116488.5938	4.079999924	4.592000008	0.500526316	0.805894737						53505.25842	845.0300246	4.592000008	4.079999924
0.61933171	10.20262623	10.20262623	116481.8203	3.930000067	4.586999893	0.500526316	0.805894737						53510.25973	850.0313318	4.586999893	3.930000067
0.619389608	10.20250034	10.20250034	116487.0234	3.710000038	4.587999821	0.500526316	0.805894737						53515.26214	855.033745	4.587999821	3.710000038
0.619447469	10.20255756	10.20255756	116489.625	4.119999886	4.659999847	0.500526316	0.805894737						53520.26131	860.0329181	4.659999847	4.119999886
0.619505373	10.2024374	10.2024374	116491.2734	4.029999733	4.644000053	0.500526316	0.805894737						53525.26418	865.0357891	4.644000053	4.029999733
0.619563232	10.20250225	10.20250225	116492.9453	4.170000076	4.620999813	0.500526316	0.805894737						53530.2632	870.0348067	4.620999813	4.170000076
0.619621097	10.20265865	10.20265865	116486.1953	3.99000001	4.610000134	0.500526316	0.805894737						53535.26282	875.0344205	4.610000134	3.99000001
0.619678969	10.20263386	10.20263386	116496.1172	3.809999943	4.603000164	0.500526316	0.805894737						53540.26293	880.0345354	4.603000164	3.809999943
0.619736831	10.20253563	10.20253563	116496.4453	4.010000229	4.587999821	0.500526316	0.805894737						53545.26222	885.0338208	4.587999821	4.010000229
0.619794776	10.20257187	10.20257187	116487.4609	4.050000191	4.580999851	0.500526316	0.805894737						53550.26868	890.0402861	4.580999851	4.050000191
0.619852636	10.20271397	10.20271397	116498.6563	4.070000172	4.59800005	0.500526316	0.805894737						53555.26775	895.0393555	4.59800005	4.070000172
0.619910434	10.2025919	10.2025919	116492.7266	4.019999981	4.578999996	0.500526316	0.805894737						53560.26152	900.0331286	4.578999996	4.019999981
0.619968382	10.20241642	10.20241642	116495.6172	3.960000038	4.568999767	0.500526316	0.805894737						53565.26823	905.0398358	4.568999767	3.960000038
0.620026165	10.20250034	10.20250034	116507.2734	4.090000153	4.581999779	0.500526316	0.805894737						53570.26068	910.032287	4.581999779	4.090000153
0.620084148	10.20257092	10.20257092	116507.3672	4.269999981	4.587999821	0.500526316	0.805894737						53575.27037	915.041975	4.587999821	4.269999981
0.620141909	10.20261669	10.20261669	116522.0313	4.119999886	4.572999954	0.500526316	0.805894737						53580.26096	920.0325686	4.572999954	4.119999886
0.62019983	10.2026062	10.2026062	116516.7188	4.139999867	4.576000214	0.500526316	0.805894737						53585.26529	925.0368912	4.576000214	4.139999867
0.620257707	10.20254421	10.20254421	116505.75	4.809999943	4.583000183	0.500526316	0.805894737						53590.26586	930.037464	4.583000183	4.809999943
0.620315555	10.20266247	10.20266247	116511.7656	4.389999867	4.593999863	0.500526316	0.805894737						53595.26395	935.0355571	4.593999863	4.389999867
